Lesson,Frequency,Hebrew,English,POS,Category
5V,16,נָזִיר,(adj) dedicated; (n) Nazirite,Adjective,
5V,16,"נָשָׁא , נָשָׁה","to lend, make a loan",Verb,Action and Stative Verbs
5V,16,נָשָׁא,(Ni) to be deceived,Verb,Action and Stative Verbs
5V,16,סוּפָה,(storm-) wind,Noun,Heavens and Earth
5V,16,סֹחֵר,"trader, merchant",Noun,
5V,16,סַם,(pl coll) perfume,Noun,
5V,16,עָנָה,to sing,Verb,Action and Stative Verbs
5V,16,עָרוֹם,(adj) naked,Adjective,Humans and Anatomy
5V,16,עָרְלָה,foreskin,Noun,Humans and Anatomy
5V,16,פָּרַע,to let (hang) loose,Verb,Action and Stative Verbs
5V,16,פֵּשֶׁת,"flax, linen",Noun,Clothing
5V,16,צוּד,to hunt,Verb,Action and Stative Verbs
5V,16,צִיָּה,"dry country, desert",Noun,Heavens and Earth
5V,16,צֶמֶר,wool,Noun,Clothing
5V,16,קֶלָע,(pl) curtain,Noun,Worship/Cultic
5V,16,קַשׁ,stubble,Noun,
5V,16,רְבָבָה,very great multitude; ten thousand,Noun,Measurement and Numbers
5V,16,רַב־שָׁקֵה,(Assyrian office?) cupbearer; great drinker,Noun,Occupation
5V,16,רָגַם,(v) to stone (someone),Verb,Action and Stative Verbs
5V,16,רֵיקָם,(adv) emptily,Adverb,
5V,16,רַךְ,"(adj) tender, frail",Adjective,
5V,16,שְׂחוֹק,laughter,Noun,
5V,16,"שֶׂכֶל , שֵׂכֶל","insight, understanding",Noun,
5V,16,"שַׂלְמָה ,שִׂמְלָה","mantle, wrapper",Noun,Clothing
5V,16,שָׁוָה,"to be(come) like, equal",Verb,Action and Stative Verbs
5V,16,שֵׁפֶט,(pl) judgment; (ext) punishment,Noun,"People, Law, and Covenant"
5W,15,אַמְתַּחַת,sack; load(?),Noun,
5W,15,"אָרֵךְ , אֶרֶךְ","(abs; cstr) slow, long",Noun,
5W,15,גָּזַז,"to shear (sheep), cut (hair)",Verb,Action and Stative Verbs
5W,15,גֻּלָה,basin,Noun,
5W,15,גָּלוּת,"exile, deportation; exiles",Noun,
5W,15,גָּלַל,to roll,Verb,Action and Stative Verbs
5W,15,גְּעָרָה,(n) rebuke; threat,Noun,Personal Interactions
5W,15,גָּרָה,(Pi) to go to law,Verb,"People, Law, and Covenant"
5W,15,דֶּשֶׁן,fat; fatty ashes,Noun,Food
5W,15,הָלַל,to be deluded,Verb,Action and Stative Verbs
5W,15,חָצָה,to divide (in half),Verb,Action and Stative Verbs
5W,15,ישֶׁר,"straightness, uprightness",Noun,
5W,15,כָּבַשׁ,"to subdue, subject",Verb,Action and Stative Verbs
5W,15,כָּלִיל,"(adj) entire, whole; (n) entirety",Adjective,Measurement and Numbers
5W,15,מֹאזְנַיִם,"(du) scales, balance",Noun,
