Lesson,Frequency,Hebrew,English,POS,Category
3E,123,קָהָל,"assembly, congregation",Noun,"People, Law, and Covenant"
3E,133,שָׁאַר,"to remain; (Ni, Hi) be left over",Verb,Action and Stative Verbs
3E,130,שָׁכַן,"to tent, dwell, settle",Verb,Building and Travel
3E,125,שָׁלַךְ,"(Hi) to throw, cast (out)",Verb,Movement Verbs
3F,112,אֱדוֹם ; אֲדוֹמִי,Edom; (gent) Edomite(s),Proper Noun,
3F,114,אָחוֹת,sister,Noun,Family and Tribe
3F,119,בָּטַח,to trust; fall to the ground? be reckless,Verb,Movement Verbs
3F,114,בָּכָה,to weep,Verb,Personal Interactions
3F,115,יָדָה,"(Pi) to throw, cast; (Hi, Hith) thank, praise, confess",Verb,Worship/Cultic
3F,120,יָטַב,"to be good (Cf. טוּב, 4.Β; (I) טוּב 1.D)",Verb,Action and Stative Verbs
3F,112,יִצְחָק,Isaac,Proper Noun,
3F,119,יָשָׁר,"(adj) straight, just, upright",Adjective,Humans and Anatomy
3F,114,כָּבֵד,"(stat) to be heavy, honored",Verb,Action and Stative Verbs
3F,113,לָבַשׁ,"to put on, clothe",Verb,Clothing
3F,120,לִקְרַאת,"(inf cstr as prep) over against, opposite",Preposition,
3F,117,לָשׁוֹן,tongue,Noun,Humans and Anatomy
3F,115,מִגְרָשׁ,"pasture, untilled ground; produce",Noun,Heavens and Earth
3F,117,מַמְלָכָה,kingdom,Noun,Building and Travel
3F,115,נָבָא,"(Ni, Hith) to prophesy",Verb,Worship/Cultic
3F,117,נָהָר,"river, stream",Noun,Heavens and Earth
3F,119,פְּרִי,"fruit, offspring",Noun,Food
3F,116,צֶ֫דֶק,"righteousness; what is right, just",Noun,Humans and Anatomy
3F,115,קָדוֹשׁ,(adj) holy,Adjective,Worship/Cultic
3F,116,קָטַר,(Pi) to send an offering up in smoke; (Hi) make smoke,Verb,Worship/Cultic
3F,120,רֶ֫כֶב,"chariot, chariotry",Noun,Lands and Warfare
3F,117,שָׁלֵם,"(stat) to be whole, complete; (Pi) repay; (Hi) make peace with",Verb,Action and Stative Verbs
3F,112,שֹׁמְרוֹן,Samaria (2 times in Aramaic),Proper Noun,
3F,116,שָׁפַךְ,to pour out,Verb,Action and Stative Verbs
3F,113,שֶׁ֫קֶר,"lie, falsehood, deception",Noun,Personal Interactions
3F,117,שָׂרַף,to burn,Verb,Action and Stative Verbs
3F,118,תּוֹעֵבָה,abomination,Noun,Worship/Cultic
3G,107,אַבְשָׁלוֹם,Absalom,Proper Noun,
3G,100,אָמֵן,"(Ni) to be steady, firm, trustworthy, faithful; (Hi) believe",Verb,Action and Stative Verbs
3G,111,בִּלְתִּי,(n) non-existence; (adv) not; (prep) except,Noun,
3G,103,בָּמָה,"high place, funerary installation",Noun,Worship/Cultic
3G,101,בַּ֫עַד ; בְּעַד,"(n) distance; (prep) behind, through, for (the benefit of)",Noun,Building and Travel
3G,104,גָּאַל,to redeem,Verb,"People, Law, and Covenant"
3G,108,גִּלְעָד ; גִּלְעָדִי,Gilead; (gent) Gileadites,Proper Noun,
3G,100,הֵן,"(dem interg) behold!; (cong) if (Cf. הִנֶּה, 1.B)",Interjection,
3G,104,הֻקָּה,"statute, prescription",Noun,"People, Law, and Covenant"
3G,104,יָרָבְעָם,Jeroboam,Proper Noun,
3G,106,יָתַר,"(Ni, Hi) to be left, remain",Verb,Action and Stative Verbs
3G,110,כָּנָף,"wing, skirt",Noun,Plants and Animals
3G,102,כָּפַר,to cover; (Pi ext) expiate,Verb,"People, Law, and Covenant"
3G,103,מַרְאֶה,"sight, appearance",Noun,
3G,110,נֶ֫גֶב,"the dry country; south, Negev",Noun,Heavens and Earth
3G,108,נָחַם,"(Ni) to be sorry, repent; (Pi) comfort, console",Verb,Personal Interactions
3G,111,עַמּוּד,"pillar, column",Noun,Building and Travel
3G,110,עָפָר,"dry earth, dust",Noun,Heavens and Earth
3G,111,פַּ֫עַם,"foot, step; time",Noun,Time and Seasons
3G,103,רוּץ,to run,Verb,Movement Verbs
3G,101,רֹ֫חַב,breadth,Noun,Measurement and Numbers
3G,103,רָעָב,"famine, hunger",Noun,Food
3G,108,רַק,(adv) only,Adverb,
3G,106,שַׁבָּת,"sabbath, rest",Noun,"People, Law, and Covenant"
3G,102,שָׁכַח,to forget,Verb,Action and Stative Verbs
3G,107,שְׁלִישִׁי,"(ord) third, (fract) one-third",Numeral,Measurement and Numbers
3G,104,תָּמִיד,"(n) continuance; (adv) continually, regularly",Noun,Time and Seasons
4A,93,אַחְאָב,Ahab,Proper Noun,
4A,95,אֹ֫רֶךְ,length,Noun,Measurement and Numbers
4A,93,גֵּר,stranger,Noun,"People, Law, and Covenant"
4A,95,הָפַךְ,"to turn, overturn",Verb,Movement Verbs
4A,95,זָנָה,to commit fornication; play the harlot,Verb,Action and Stative Verbs
4A,97,חַיָּה,(s or pl coll) animals,Noun,Plants and Animals
4A,94,חָלָל,"(n, adj) slain, struck dead",Adjective,Worship/Cultic
4A,97,חֲמוֹר,(male) ass,Noun,Plants and Animals
4A,94,חָרָה,"to be(come) hot, burning, angry",Verb,Action and Stative Verbs
4A,94,טָהוֹר,"(adj) clean, pure",Adjective,Worship/Cultic
4A,94,טָהֵר,"to be clean, pure",Verb,Worship/Cultic
4A,93,יַ֫עַן,(prep) on account of; (conj) because,Preposition,
4A,96,יֶ֫תֶר,remainder,Noun,
4A,93,כֶּ֫רֶם,vineyard,Noun,Plants and Animals
4A,95,מָלַט,"(Ni) to escape; (Pi) save, deliver",Verb,Movement Verbs
4A,96,מְעַט,(adj) few; (n) a little,Adjective,Measurement and Numbers
4A,99,עוֹר,"skin, leather",Noun,Humans and Anatomy
4A,94,"עֹז , עָז","strength, power, might",Noun,Humans and Anatomy
4A,96,עֵשָׂו,Esau,Proper Noun,
4A,93,פֶּ֫שַׁע,"rebellion, revolt, transgression",Noun,Lands and Warfare
4A,99,רָעַע,"to be wicked, evil",Verb,Humans and Anatomy
4A,96,שְׁבִיעִי,(ord) seventh,Numeral,Measurement and Numbers
4A,97,שָׂבַע,"to satisfy, be satiated",Verb,Food
4A,94,שִׂמְחָה,"joy, rejoicing",Noun,Humans and Anatomy
4A,95,שָׁמֵם,(stat) to be astonished; be desolate,Verb,Action and Stative Verbs
4A,98,שָׁרַת,"(Pi) to minister to, serve",Verb,Worship/Cultic
4B,86,אֱמֹרִי,(gent) Amorite(s),Noun,
4B,87,בָּעַר,"to consume, burn; graze",Verb,Action and Stative Verbs
4B,87,דֶּ֫לֶת,door,Noun,Building and Travel
4B,91,דַּ֫עַת,knowledge,Noun,"People, Law, and Covenant"
4B,86,הָמוֹן,"tumult, turmoil, multitude",Noun,Lands and Warfare
4B,91,זְר֫וֹעַ,"arm, forearm",Noun,Humans and Anatomy
4B,92,חֵ֫לֶב,fat,Noun,Food
4B,86,חָפֵץ,"to please, delight, take pleasure",Verb,Action and Stative Verbs
4B,90,טוֹב,"to be good, pleasant (Cf. יָטַב, 3.F; טוּב, 1.D)",Verb,Humans and Anatomy
4B,88,טָמֵא ; טְמֵאָה,"(adj, m; f) unclean",Adjective,Worship/Cultic
4B,86,יְהוֹשָׁפָט,Jehoshaphat,Proper Noun,
4B,92,יֶ֫לֶד ; יַלְדָּה,"male child, boy; girl",Noun,Family and Tribe
4B,92,כְּרוּב,cherub,Noun,Worship/Cultic
4B,89,כַּשְׂדִּים,Chaldea; (gent) Chaldean (9 times in Aramaic),Proper Noun,
4B,91,מַלְכּוּת,"kingship, reign",Noun,"People, Law, and Covenant"
4B,91,נְבוּכַדְנֶאצַּר,Nebuchadnezzar,Proper Noun,
4B,90,סָגַר,"to shut, close; (Hi) deliver up, give in one's power",Verb,Action and Stative Verbs
4B,91,עֵ֫בֶר,"side, region; opposite side",Noun,Heavens and Earth
4B,86,עָנָן,clouds,Noun,Heavens and Earth
4B,89,עֵצָה,"advice, counsel",Noun,Personal Interactions
4B,86,פֵּאָה,"side, rim, corner; piece?; luxury?",Noun,Building and Travel
4B,87,קֶ֫דֶם ; קֵ֫דֶם,"in front, east; east(ward)",Noun,Heavens and Earth
4B,90,קָצֶה,"end, border, extremity",Noun,Lands and Warfare
4B,87,רְאוּבֵן ; רְאוּבֵנִי,Reuben; (gent) Reubenite,Proper Noun,
4B,88,שִׁיר,to sing,Verb,Action and Stative Verbs
4B,91,שִׁיר ; שִׁירָה,(m; f) song,Noun,Worship/Cultic
4B,87,שִׁית,"to put, place",Verb,Action and Stative Verbs
4B,87,שֶׁ֫לֶם,final (or peace) offering,Noun,Worship/Cultic
4B,90,שָׁמַד,"(Ni) to be destroyed, exterminated; (Hi) exterminate",Verb,Action and Stative Verbs
4B,88,שֶׁ֫קֶל,shekel (unit of weight),Noun,Measurement and Numbers
4B,91,תָּמִים,"(adj) whole, entire; blameless",Adjective,"People, Law, and Covenant"
4C,80,אָ֫וֶן,"wickedness, iniquity",Noun,Worship/Cultic
4C,79,אוֹצָר,"supply, store-house, treasure",Noun,Building and Travel
4C,79,אוֹת,"sign, mark",Noun,
4C,83,אֲרִי ; אַרְיֵה,(m; m and f) lion,Noun,Plants and Animals
4C,85,גָּד ; גָּדִי,Gad; (gent) Gadites,Proper Noun,
4C,81,גּוּר,to sojourn,Verb,Action and Stative Verbs
4C,81,דָּנִיֵּאל,Daniel,Proper Noun,
4C,80,הֵיכָל,"palace, temple",Noun,Worship/Cultic
4C,82,זָכָר,man; male (animal),Noun,Humans and Anatomy
4C,82,חֹ֫שֶׁךְ,darkness,Noun,Heavens and Earth
4C,82,יָעַץ,"to give counsel, advice",Verb,Action and Stative Verbs
4C,85,לָמַד,to learn; (Pi) teach,Verb,Action and Stative Verbs
4C,83,מָהַר,(Pi) to hasten,Verb,Action and Stative Verbs
4C,81,מָכַר,to sell,Verb,Action and Stative Verbs
4C,82,מָשַׁל,"to govern, rule",Verb,"People, Law, and Covenant"
4C,83,סָתַר,"(Ni, intrans) to conceal, hide; (Hi, trans) hide (someone)",Verb,Action and Stative Verbs
4C,83,עֵדוּת ; עֵדָה,"warning sign, reminder, precept, commandment",Noun,"People, Law, and Covenant"
4C,82,עָזַר,"to help, assist",Verb,Action and Stative Verbs
4C,79,עָנָה (II),"to bend down, be afflicted, humble; (Pi) oppress, humiliate",Verb,Worship/Cultic
4C,80,פָּלַל,(Hith) to pray,Verb,Worship/Cultic
4C,82,קָלַל,"to be slight, trifling, swift; (Pi) declare cursed; (Hi) make light",Verb,Action and Stative Verbs
4C,80,קָרְבָּן,"offering, gift",Noun,Worship/Cultic
4C,85,רָחוֹק,"(adj) far, distant; (n) distance",Adjective,Measurement and Numbers
4C,84,רֹעֶה,(Qal part) shepherd,Verb,Humans and Anatomy
4C,79,שׁוֹר,"bull(ock), steer",Noun,Plants and Animals
4C,85,שָׁחַט,"to slaughter, kill",Verb,Action and Stative Verbs
4C,79,שָׁקָה,(Hi) to give to drink,Verb,Food
4D,76,בַּרְזֶל,iron,Noun,Metals and Stone
4D,78,גּוֹרָל,lot; (ext) allotment,Noun,Measurement and Numbers
4D,78,דָּן ; דָּנִי,Dan; (gent) Danites,Proper Noun,
4D,77,חֶבְרוֹן,Hebron,Proper Noun,
4D,77,חָלָה,"to be(come) weak, sick",Verb,Humans and Anatomy
4D,77,חָנַן,"to be gracious to, favour; (Hith) implore favour or compassion",Verb,Action and Stative Verbs
4D,78,יְשׁוּעָה,"deliverance, salvation",Noun,"People, Law, and Covenant"
4D,75,מָאַס,to reject,Verb,Action and Stative Verbs
4D,77,מָאתַ֫יִם,(du) two hundred,Noun,Measurement and Numbers
4D,76,מִקְנֶה,"possession (of land, cattle)",Noun,Humans and Anatomy
4D,78,מִשְׁמֶ֫רֶת,"(n) guard, obligation, service",Noun,Humans and Anatomy
4D,78,נֶ֫גַע,"blow, assault; plague",Noun,Humans and Anatomy
4D,75,נָצַב,"(Ni) to take one's stand, be stationed; wretched?",Verb,Movement Verbs
4D,76,עוּר,"to arouse, awake",Verb,Humans and Anatomy
4D,76,עָנִי,"(adj) afflicted, poor",Adjective,Humans and Anatomy
4D,75,עָרַךְ,"to arrange, set in order",Verb,Action and Stative Verbs
4D,75,צוּר,"boulder, (large) rock",Noun,Metals and Stone
4D,76,צַר,"adversary, foe",Noun,Personal Interactions
4D,78,קָנָה,"to acquire, buy",Verb,Action and Stative Verbs
4D,78,קָרוֹב ; קְרוֹבָה,"(adj m; f) near, imminent",Adjective,Measurement and Numbers
4D,76,קֶ֫רֶן,horn,Noun,Plants and Animals
4D,76,קֶ֫שֶׁת,bow (weapon); (met) rainbow,Noun,Lands and Warfare
4D,78,רָכַב,to ride,Verb,Lands and Warfare
4D,75,שָׂכַל,to have success; (Hi) understand,Verb,Action and Stative Verbs
4D,76,שָׁלָל,"plunder, booty",Noun,Lands and Warfare
4D,78,תְּפִלָּה,prayer,Noun,Worship/Cultic
4D,77,תְּרוּמָה,"tribute, contribution, heave-offering",Noun,Worship/Cultic
4D,77,"תֵּ֫שַׁע , תִּשְׁעָה","(s m, f) nine",Noun,Measurement and Numbers
4D,77,תִּשְׁעִים,ninety,Noun,Measurement and Numbers
4E,71,"אֵלִיָּה , אֵלִיָּ֫הוּ",Elijah,Proper Noun,
4E,72,אֶלְעָזָר,Eleazar,Proper Noun,
4E,71,אָסַר,"to bind; (Ni, Pu) be fettered, imprisoned",Verb,Action and Stative Verbs
4E,73,אֶ֫רֶז,(trad) cedar,Noun,Plants and Animals
4E,72,בֶּ֫טֶן,"belly, womb",Noun,Humans and Anatomy
4E,71,בְּרָכָה,blessing,Noun,Worship/Cultic
4E,74,גָּבַהּ,(stat) to be high,Verb,Action and Stative Verbs
4E,73,הֶ֫בֶל,"breath; vanity, idol(s)",Noun,Worship/Cultic
4E,73,זָעַק,"to cry out; (Ni) called to arms (Cf. צָעַק, 4.I)",Verb,Humans and Anatomy
4E,71,זָר,"(adj) strange, different, illicit",Adjective,
4E,72,חָזָה,"to see, perceive",Verb,Action and Stative Verbs
4E,73,חֶרְפָּה,"reproach, disgrace",Noun,Personal Interactions
4E,71,לְבָנוֹן,Lebanon,Proper Noun,
4E,71,לִין,"to spend the night, lodge",Verb,Action and Stative Verbs
4E,72,מַדּוּעַ,"(interr adv) wherefore, why?",Adverb,
4E,74,מִזְרָח,"sunrise, east",Noun,Heavens and Earth
4E,74,מִקְדָּשׁ,sanctuary,Noun,Worship/Cultic
4E,72,מֵת,(adj) dead,Adjective,Humans and Anatomy
4E,74,סֶ֫לָה,selah (unexplained technical term of music or recitation),Noun,Worship/Cultic
4E,72,עֵד ; עֵדָה,(m; f) witness,Noun,"People, Law, and Covenant"
4E,71,עוֹף,"(coll) flying creatures; fowl, insects",Noun,Plants and Animals
4E,74,עֵז,goat; goathair,Noun,Plants and Animals
4E,71,פָּלָא,"(Ni) to be extraordinary, wonderful",Verb,Action and Stative Verbs
4E,72,צָרָה,distress,Noun,
4E,74,קִיר,wall,Noun,Building and Travel
4E,72,רָחַץ,to wash (oneself),Verb,Action and Stative Verbs
4E,71,שָׁבַת,"to cease, rest",Verb,Action and Stative Verbs
4E,72,שׁוֹפָר,"ram's horn, trumpet",Noun,Plants and Animals
4F,67,אֲבִימֶ֫לֶךְ,Abimelech,Proper Noun,
4F,66,אֲחֻזָּה,landed property,Noun,Building and Travel
4F,69,אַלּוּף,(adj) familiar; (n) confidant; tribal chief,Adjective,Personal Interactions
4F,69,בּוֹר,cistern,Noun,Food
4F,70,בֵּית־אֵל,Bethel,Proper Noun,
4F,66,בַּל,(neg) not; surely?,Particle,
4F,66,גֶּ֫בֶר,young man; strong man,Noun,Humans and Anatomy
4F,66,חֲלוֹם,dream,Noun,
4F,68,חֵן,"charm, favour; grace",Noun,
4F,67,כִּכָּר,loaf of bread; talent; environs (all circular),Noun,Food
4F,70,כְּסִיל,"(adj) insolent (spiritual); stupid, dull (practical things)",Adjective,Humans and Anatomy
4F,67,כְּפִי ; לְפִי,"(conj) according to, as; so that",Conjunction,
4F,67,כָּתֵף,shoulder(-blade),Noun,Humans and Anatomy
4F,67,לְפִי,"(conj) according to, as; so that",Noun,Humans and Anatomy
4F,67,מִדְיָן ; מִדְיָנִי,Midian; (gent) Midianite,Proper Noun,
4F,67,מָלֵא (II),"(adj, n, pred adj) full",Adjective,
4F,70,מָשַׁח,to anoint,Verb,Worship/Cultic
4F,70,נָבַט,"(Pi, Hi) to look at, regard",Verb,Action and Stative Verbs
4F,68,עֵ֫מֶק,valley,Noun,Heavens and Earth
4F,68,פֹּה ; פּוֹ ; פֹּא,here,Noun,Measurement and Numbers
4F,67,פָּרַשׂ,(trans) spread out; (met) flaunt,Verb,Action and Stative Verbs
4F,67,קֶ֫בֶר,grave,Noun,
4F,69,קָדִים,"east side, east",Noun,Heavens and Earth
4F,67,קֵץ,"end; limit, boundary",Noun,Lands and Warfare
4F,67,רָפָא,to heal (someone),Verb,Action and Stative Verbs
4F,66,שְׁאֵרִית,remainder,Noun,
4F,70,שֻׁלְחָן,table,Noun,Building and Travel
4F,67,תָּקַע,"to drive, thrust; strike",Verb,Movement Verbs
4G,63,אַבְנֵר,Abner,Proper Noun,
4G,63,אָחַז,"to seize, hold fast",Verb,Action and Stative Verbs
4G,65,אִשֶּׁה,offering by fire,Noun,Worship/Cultic
4G,64,בִּלְעָם,Balaam,Proper Noun,
4G,63,גִּבְעָה,hill; (cultic) high place,Noun,Heavens and Earth
4G,65,חֵ֫לֶק,"part, portion",Noun,Measurement and Numbers
4G,64,יְאֹר,"(great) river (Nile, Euphrates)",Noun,Heavens and Earth
4G,64,יוֹאָשׁ,Joash,Proper Noun,
4G,64,יָצַר,"to form, shape, fashion",Verb,Action and Stative Verbs
4G,63,כָּשַׁל,"to stumble, totter",Verb,Action and Stative Verbs
4G,63,"מִיכָה , מִיכָא ; מִיכָיְהוּ",Micah,Proper Noun,
4G,63,נַעֲרָה,"young girl, maid",Noun,Humans and Anatomy
4G,65,נָצַח,"(Pi) to lead, supervise",Verb,Action and Stative Verbs
4G,63,נָצַר,"to watch, guard",Verb,Action and Stative Verbs
4G,65,פּוּץ,"(intrans) to scatter, disperse",Verb,Movement Verbs
4G,63,צִדְקִיָּה ; צִדְקִיָּ֫הוּ,Zedekiah,Proper Noun,
4G,65,צָלַח,"to (be) strong, effective; succeed",Verb,Action and Stative Verbs
4G,64,רִיב,"to contend, plead (a case)",Verb,Personal Interactions
4G,65,שְׁאוֹל,"sheol, underworld",Noun,Worship/Cultic
4G,65,שָׁכַם,(den; Hi) to rise early,Verb,Movement Verbs
4G,64,שְׁכֶם,Shechem,Proper Noun,
4G,63,שִׁפְחָה,female slave,Noun,"People, Law, and Covenant"
4G,64,תָּמַם,"to be complete, perfect",Verb,Action and Stative Verbs
4G,64,תָּפַשׂ,"to seize, take hold of",Verb,Action and Stative Verbs
4H,61,אֶבְיוֹן,"(adj) poor, oppressed",Adjective,Humans and Anatomy
4H,61,אַחֲרִית,"end, outcome",Noun,
4H,58,אִיּוֹב,Job,Proper Noun,
4H,60,אֵיךְ,"(interr) how? (Cf. אֵיחָה, 5.V)",Particle,
4H,58,אֱלִישָׁע,Elisha,Proper Noun,
4H,58,אָסָא,Asa,Proper Noun,
4H,61,אֵ֫צֶל,(n) side; (prep) beside,Noun,
4H,59,אָרַר,curse,Verb,Worship/Cultic
4H,62,בָּרַח,"to run away, flee",Verb,Movement Verbs
4H,60,בָּשָׁן,Bashan,Proper Noun,
4H,62,גְּבוּרָה,"strength, might",Noun,
4H,59,דּוֹד,"beloved, lover",Noun,Humans and Anatomy
4H,61,דָּרַךְ,to tread; (Hi) stamp firm,Verb,Action and Stative Verbs
4H,60,חָג ; חַג,"procession; feast, festival",Noun,Food
4H,60,חָמָס,"violence, wrong",Noun,Lands and Warfare
4H,62,חֵת ; חִתִּי,Heth; (gent) Hittite(s),Proper Noun,
4H,58,יֵהוּא,Jehu,Proper Noun,
4H,59,מָגֵן,shield,Noun,Lands and Warfare
4H,60,מָרְדֳּכַי,Mordecai,Proper Noun,
4H,60,"נֶ֫דֶר , נֵ֫דֶר",vow,Noun,"People, Law, and Covenant"
4H,59,נָחַל,"to obtain, receive property",Verb,Action and Stative Verbs
4H,60,"נֶ֫סֶךְ , נֵ֫סֶךְ",libation,Noun,Food
4H,61,עֲרָבָה,"desert, plain",Noun,Heavens and Earth
4H,61,צָרַר,"to wrap up; be hostile toward (Cf. צוּר, 5.J)",Verb,Action and Stative Verbs
4H,61,קְטֹ֫רֶת,smoke (of sacrifice); incense,Noun,Worship/Cultic
4H,62,קָנֶה,"(measuring) reed, tube",Noun,Plants and Animals
4H,62,קָרַע,"to tear up, away",Verb,Action and Stative Verbs
4H,62,רִיב ; רִיבָה,"(m; f pl) contention, suit; legal speech",Noun,Personal Interactions
4H,59,רֵ֫יחַ,"odour, scent",Noun,
4H,58,שֹׁפֵט,"(n, Qal part act) judge",Noun,"People, Law, and Covenant"
4H,58,תְּהִלָּה,"glory, praise",Noun,Worship/Cultic
4I,55,אֶ֫דֶן,"(pl) pedestal, socket",Noun,
4I,55,אַלְמָנָה,widow,Noun,Family and Tribe
4I,56,אָמָה,female slave,Noun,"People, Law, and Covenant"
4I,55,אֶסְתֵּר,Esther,Proper Noun,
4I,57,אֹ֫רַח,"way, path",Noun,Building and Travel
4I,55,גֶּ֫פֶן,vine,Noun,Plants and Animals
4I,56,זָרַע,to sow,Verb,Plants and Animals
4I,56,חָזָק,"(adj) strong, powerful, hard",Adjective,
4I,57,חִיל,to be in labour,Verb,Action and Stative Verbs
4I,56,חָלַק,"to divide, apportion; (Pi) scatter",Verb,Movement Verbs
4I,56,טֶ֫רֶם ; בְּטֶ֫רֶם,"(neg) not yet; (conj, prep) before",Particle,
4I,55,יָבֵשׁ,(stat) to be dry; (intrans) dry up,Verb,Action and Stative Verbs
4I,56,יְהוֹיָדָע,Jehoiada,Proper Noun,
4I,56,יָכַח,(Ni) to dispute; (Hi) reprove,Verb,Personal Interactions
4I,57,יַ֫עַר,thicket,Noun,Plants and Animals
4I,57,יְרִחוֹ,Jericho,Proper Noun,
4I,56,יִשְׁמָעֵאל ; יִשְׁמְעֵאלִי,Ishmael; (gent) Ishmaelite,Proper Noun,
4I,57,מִזְמוֹר,psalm,Noun,Worship/Cultic
4I,56,מַחֲשָׁבָה,thought,Noun,Humans and Anatomy
4I,57,מְנַצֵּ֫חַ,conductor? (Pi part of נָצַח),Noun,
4I,57,נָטַע,to plant,Verb,Plants and Animals
4I,57,סֶ֫לַע,rock,Noun,Metals and Stone
4I,55,סֹפֵר,"scribe, writer",Noun,Humans and Anatomy
4I,55,עָמָל,"distress, trouble; effort",Noun,
4I,56,פָּדָה,"to buy (off), ransom",Verb,Action and Stative Verbs
4I,57,פָּעַל,"to make, do",Verb,Action and Stative Verbs
4I,57,פָּרָשׁ,horsemen; horse,Noun,Plants and Animals
4I,55,רְבִיעִי,(ord) fourth; (fract) one-fourth,Numeral,Measurement and Numbers
4I,57,רָחַק,"to be(come) far (away), distant",Verb,Action and Stative Verbs
4I,57,רָמָה,Ramah,Proper Noun,
4I,56,רָצוֹן,pleasure; favour,Noun,
4I,56,שָׁדַד,"devastate, lay waste",Noun,Lands and Warfare
4I,56,שְׁמָמָה,"horror, desolation",Noun,
4I,55,שָׂעִיר,(n) he-goat; (adj) hairy,Noun,Plants and Animals
4J,54,אָבָה,"to accede, accept",Verb,Action and Stative Verbs
4J,53,אֱמוּנָה,steadiness,Noun,
4J,54,גָּמָל,camel,Noun,Plants and Animals
4J,54,דָּבַק,"to stick, cling to",Verb,Action and Stative Verbs
4J,54,דְּבַשׁ,honey,Noun,Food
4J,54,הָמָן,Haman,Proper Noun,
4J,53,חָדַל,"to cease, desist",Verb,Action and Stative Verbs
4J,53,חָדָשׁ,"(adj) new, fresh",Adjective,Time and Seasons
4J,54,חֵץ,arrow,Noun,Lands and Warfare
4J,53,חַָתַת,to be shattered; (ext) filled with terror,Verb,Action and Stative Verbs
4J,53,יָצַק,to dish up (food); pour out (liquid),Verb,Food
4J,54,יָרָה,"(Hi) to teach, instruct, cast",Verb,Action and Stative Verbs
4J,54,יְרִיעָה,"curtain, tent",Noun,Building and Travel
4J,54,כּוּשׁ ; כּוּשִׁי,Cush; (gent) Cushite,Proper Noun,
4J,54,כָּעַס,"to (be) irrated, angry",Verb,Action and Stative Verbs
4J,54,לָבָן,Laban,Proper Noun,
4J,53,מִדָּה,(n) measure,Noun,Measurement and Numbers
4J,53,מַצָּה,unleavened bread,Noun,Food
4J,54,מָרוֹם,height,Noun,Measurement and Numbers
4J,53,סֹ֫לֶת,fine wheat flour,Noun,Food
4J,53,עֶלְיוֹן,upper; Most High,Noun,Worship/Cultic
4J,53,עֶרְוָה,nakedness,Noun,Humans and Anatomy
4J,53,צָדוֹק,Zadok,Proper Noun,
4J,53,צֵל,"shadow, shade",Noun,Humans and Anatomy
4J,54,צָעַק,"to cry out (Cf. זָעַק, 4.E)",Verb,Action and Stative Verbs
4J,54,קָטֹן,"(adj) small, insignificant",Adjective,
4J,54,שְׂמֹאל,left (side); left hand,Noun,Humans and Anatomy
4J,53,שֵׁן,tooth; (ext) crag,Noun,Humans and Anatomy
4J,53,שָׂרָה ; שָׂרַי,"Sarah, Sarai",Proper Noun,
4K,50,אַחֲרוֹן,(adj) behind; (adv) last,Adjective,
4K,52,אַיֵּה,(interr) where?,Particle,
4K,50,אֵילָם ; אוּלָם,vestibule,Noun,Building and Travel
4K,51,בָּקַע,to split,Verb,Action and Stative Verbs
4K,51,בְּתוּלָה,virgin,Noun,Humans and Anatomy
4K,51,חָרַם,to devote to the ban,Verb,Action and Stative Verbs
4K,51,יֹאשִׁיָּה ; יֹאשִׁיָּ֫הוּ,Josiah,Proper Noun,
4K,51,יוֹמָם,"daily, in the daytime.",Noun,Time and Seasons
4K,51,כָּבַס,to full (cloth); (Pi) to wash,Verb,Action and Stative Verbs
4K,52,מָדַד,to measure,Verb,Measurement and Numbers
4K,50,מוּסָר,"chastening, correction",Noun,
4K,52,מָחָר,tomorrow,Noun,Time and Seasons
4K,51,נָדַח,(Ni) to be scattered,Verb,Action and Stative Verbs
4K,50,נָכַר,"(Ni) to pretend; (Hi) investigate, recognize",Verb,Action and Stative Verbs
4K,50,נַפְתָּלִי,Naphtali,Proper Noun,
4K,50,נָשַׂג,(Hi) overtake,Verb,Action and Stative Verbs
4K,51,עֲמָלֵק ; עֲמָלֵקִי,Amalek; (gent) Amalekite,Proper Noun,
4K,50,פָּרַץ,to make a breach; burst out,Verb,Action and Stative Verbs
4K,50,פָּרַר,"(Hi) to break out, burst forth; shake, frustrate",Verb,Action and Stative Verbs
4K,51,קֶ֫רֶשׁ,plank,Noun,Building and Travel
4K,51,רֵאשִׁית,"beginning, first",Noun,Measurement and Numbers
4K,50,רְחַבְעָם,Rehoboam,Proper Noun,
4K,52,רָנַן,to shout (for joy),Verb,Action and Stative Verbs
4K,50,רָצָה,to be pleased with; like,Verb,Action and Stative Verbs
4K,52,שָׁוְא,"(adj, n) worthless(ness); (adv) in vain",Adjective,
4K,50,תָּעָה,"to wander off, stagger",Verb,Movement Verbs
4K,51,תִּפְאֶ֫רֶת,"(f) ornament, decoration",Noun,Clothing
5A,49,אֵ֫מֶר,"saying, word",Noun,
5A,49,אֵפֹד,ephod (priestly garment; cult object),Noun,Worship/Cultic
5A,49,בָּגַד,to treat faithlessly,Verb,Action and Stative Verbs
5A,49,בַּעֲבוּר,"on account of, for the sake of, because of, in order that",Preposition,
5A,48,בָּרָא,to create,Verb,Action and Stative Verbs
5A,49,גָּאוֹן,loftiness; pride,Noun,Humans and Anatomy
5A,48,גִּ֫לּוּל,(pl) idols,Noun,Worship/Cultic
5A,49,דֶּ֫בֶר,(bubonic) plague,Adjective,Humans and Anatomy
